path,type,line
oramasearch/orama/run626-0,gpt,832
oramasearch/orama/run626-0,gpt,833
dygmalab/bazecor/run181-0,gpt,551
dygmalab/bazecor/run181-0,gpt,568
cmyui/gulag/run58-0,gpt,214
cmyui/gulag/run58-0,gpt,216
vega/vega-lite/run995-0,gpt,176
nats-io/natscli/run2128-0,gpt,629
nats-io/natscli/run2128-0,gpt,631
temporalio/sdk-node/run3354-4,gpt,670
temporalio/sdk-node/run3354-4,gpt,671
temporalio/sdk-node/run3354-4,gpt,672
temporalio/sdk-node/run3354-4,gpt,673
temporalio/sdk-node/run3354-4,gpt,674
temporalio/sdk-node/run3354-4,gpt,675
temporalio/sdk-node/run3354-4,gpt,679
temporalio/sdk-node/run3354-4,gpt,678
temporalio/sdk-node/run3354-4,gpt,679
typestrong/ts-loader/run3190-8,gpt,547
typestrong/ts-loader/run3190-8,gpt,548
typestrong/ts-loader/run3190-8,gpt,549
typestrong/ts-loader/run3190-8,gpt,551
segmentio/analytics-php/run91-0,gpt,475
segmentio/analytics-php/run91-0,gpt,476
segmentio/analytics-php/run91-0,gpt,477
segmentio/analytics-php/run91-0,gpt,478
segmentio/analytics-php/run91-0,gpt,479
segmentio/analytics-php/run91-0,gpt,480
segmentio/analytics-php/run91-0,gpt,481
segmentio/analytics-php/run91-0,gpt,482
segmentio/analytics-php/run91-0,gpt,488
segmentio/analytics-php/run91-0,gpt,501
marhkb/telegrand/run2758-0,gpt,256
marhkb/telegrand/run2758-0,gpt,267
popsim-consortium/stdpopsim/run2141-0,gpt,569
popsim-consortium/stdpopsim/run2141-0,gpt,570
popsim-consortium/stdpopsim/run2141-0,gpt,571
popsim-consortium/stdpopsim/run2141-0,gpt,575
popsim-consortium/stdpopsim/run2141-0,gpt,576
popsim-consortium/stdpopsim/run2141-0,gpt,577
popsim-consortium/stdpopsim/run2141-0,gpt,578
popsim-consortium/stdpopsim/run2141-0,gpt,605
timescale/timescaledb-toolkit/run3212-0,gpt,554
timescale/timescaledb-toolkit/run3212-0,gpt,560
hipages/php-fpm_exporter/run109-1,gpt,210
hipages/php-fpm_exporter/run109-1,gpt,214
hipages/php-fpm_exporter/run109-1,gpt,219
gfx-rs/naga/run926-2,gpt,511
gfx-rs/naga/run926-2,gpt,512
gfx-rs/naga/run926-2,gpt,514
gfx-rs/naga/run926-2,gpt,515
atombender/go-jsonschema/run166-0,gpt,626
atombender/go-jsonschema/run166-0,gpt,627
atombender/go-jsonschema/run166-0,gpt,628
atombender/go-jsonschema/run166-0,gpt,629
atombender/go-jsonschema/run166-0,gpt,643
cloud-gov/pages-core/run1003-0,gpt,43
nwtgck/piping-server-rust/run1665-2,gpt,227
nwtgck/piping-server-rust/run1665-2,gpt,231
rsheftel/pandas_market_calendars/run24-0,gpt,700
rsheftel/pandas_market_calendars/run24-0,gpt,654
rsheftel/pandas_market_calendars/run24-0,gpt,701
rsheftel/pandas_market_calendars/run24-0,gpt,703
rsheftel/pandas_market_calendars/run24-0,gpt,704
rsheftel/pandas_market_calendars/run24-0,gpt,709
rsheftel/pandas_market_calendars/run24-0,gpt,712
rsheftel/pandas_market_calendars/run24-0,gpt,713
rsheftel/pandas_market_calendars/run24-0,gpt,730
rsheftel/pandas_market_calendars/run24-0,gpt,731
arkworks-rs/poly-commit/run426-0,gpt,568
arkworks-rs/poly-commit/run426-0,gpt,569
epicserve/django-base-site/run893-0,gpt,3
epicserve/django-base-site/run893-0,gpt,153
epicserve/django-base-site/run893-0,gpt,154
epicserve/django-base-site/run893-0,gpt,158
leosuncin/nest-auth-example/run10696-0,gpt,110
leosuncin/nest-auth-example/run10696-0,gpt,112
leosuncin/nest-auth-example/run10696-0,gpt,113
leosuncin/nest-auth-example/run10696-0,gpt,116
leosuncin/nest-auth-example/run10696-0,gpt,117
leosuncin/nest-auth-example/run10696-0,gpt,119
leosuncin/nest-auth-example/run10696-0,gpt,120
leosuncin/nest-auth-example/run10696-0,gpt,124
leosuncin/nest-auth-example/run10696-0,gpt,125
leosuncin/nest-auth-example/run10696-0,gpt,129
leosuncin/nest-auth-example/run10696-0,gpt,143
cilium/cilium-cli/run2066-0,gpt,228
cilium/cilium-cli/run2066-0,gpt,229
cilium/cilium-cli/run2066-0,gpt,230
cilium/cilium-cli/run2066-0,gpt,260
cilium/cilium-cli/run2066-0,gpt,269
cilium/cilium-cli/run2066-0,gpt,270
cilium/cilium-cli/run2066-0,gpt,271
cilium/cilium-cli/run2066-0,gpt,279
cilium/cilium-cli/run2066-0,gpt,231
tauri-apps/create-tauri-app/run844-0,gpt,780
tauri-apps/create-tauri-app/run844-0,gpt,781
tauri-apps/create-tauri-app/run844-0,gpt,782
tauri-apps/create-tauri-app/run844-0,gpt,783
tauri-apps/create-tauri-app/run844-0,gpt,784
tauri-apps/create-tauri-app/run844-0,gpt,785
tauri-apps/create-tauri-app/run844-0,gpt,786
tauri-apps/create-tauri-app/run844-0,gpt,787
tauri-apps/create-tauri-app/run844-0,gpt,788
tauri-apps/create-tauri-app/run844-0,gpt,789
tauri-apps/create-tauri-app/run844-0,gpt,790
tauri-apps/create-tauri-app/run844-0,gpt,791
tauri-apps/create-tauri-app/run844-0,gpt,792
tauri-apps/create-tauri-app/run844-0,gpt,793
tauri-apps/create-tauri-app/run844-0,gpt,794
tauri-apps/create-tauri-app/run844-0,gpt,795
tauri-apps/create-tauri-app/run844-0,gpt,796
tauri-apps/create-tauri-app/run844-0,gpt,797
tauri-apps/create-tauri-app/run844-0,gpt,799
tauri-apps/create-tauri-app/run844-0,gpt,800
pypiserver/pypiserver/run26-0,gpt,693
goharbor/harbor/run5505-0,gpt,53
nektos/act/run35-0,gpt,923
nektos/act/run35-0,gpt,924
nektos/act/run35-0,gpt,926
nektos/act/run35-0,gpt,935
microsoft/powerplatform-actions/run230-0,gpt,697
microsoft/powerplatform-actions/run230-0,gpt,701
microsoft/powerplatform-actions/run230-0,gpt,698
microsoft/powerplatform-actions/run230-0,gpt,702
microsoft/powerplatform-actions/run230-0,gpt,676
rerun-io/egui_tiles/run91-0,gpt,222
rerun-io/egui_tiles/run91-0,gpt,228
getdozer/dozer/run44-0,gpt,559
getdozer/dozer/run44-0,gpt,560
getdozer/dozer/run44-0,gpt,561
getdozer/dozer/run44-0,gpt,562
getdozer/dozer/run44-0,gpt,563
getdozer/dozer/run44-0,gpt,564
getdozer/dozer/run44-0,gpt,565
mainmatter/ember-cookies/run2420-7,gpt,255
mainmatter/ember-cookies/run2420-7,gpt,256
mainmatter/ember-cookies/run2420-7,gpt,273
mainmatter/ember-cookies/run2420-7,gpt,276
mainmatter/ember-cookies/run2420-7,gpt,277
python-attrs/attrs/run713-0,gpt,269
python-attrs/attrs/run713-0,gpt,272
python-attrs/attrs/run713-0,gpt,274
ardalis/cleanarchitecture/run1168-0,gpt,549
ardalis/cleanarchitecture/run1168-0,gpt,550
ardalis/cleanarchitecture/run1168-0,gpt,551
ardalis/cleanarchitecture/run1168-0,gpt,552
