id,side-by-side,summary,p1,p2,p3
bytedeco/javacpp-presets/run46-1,diff 0,none,none,none,none
netlify/netlify-plugin-nextjs/run4250-0,diff 1,none,none,none,alpha
python-markdown/markdown/run641-7,diff 2,none,none,none,none
ufbx/ufbx/run1143-4,diff 3,alpha,alpha,none,alpha
eliaskosunen/scnlib/run307-3,diff 4,none,none,none,none
docgroup/ace_tao/run2576-1,diff 5,none,alpha,none,none
autolab/autolab/run1575-0,diff 6,alpha,alpha,alpha,alpha
esrlabs/northstar/run2715-0,diff 7,alpha,alpha,none,alpha
florian-guillemard/wififlutter/run363-0,diff 8,alpha,alpha,alpha,alpha
JohnSnowLabs/langtest/run7-0,diff 9,alpha,alpha,none,alpha
thefrontside/effection/run224-0,diff 10,none,alpha,none,none
cqframework/clinical_quality_language/run85-0,diff 11,none,alpha,none,none
jupyter-naas/naas/run623-0,diff 12,none,alpha,none,none
phpstan/phpstan/run53-0,diff 13,alpha,none,alpha,alpha
npm/cacache/run476-7,diff 14,alpha,alpha,none,alpha
goravel/framework/run276-0,diff 15,none,none,none,alpha
zotero/translators/run2662-0,diff 16,alpha,alpha,none,alpha
schemathesis/schemathesis/run3719-3,diff 17,none,alpha,none,none
pymc-devs/pytensor/run1323-0,diff 18,alpha,alpha,none,alpha
mobilefirstllc/social-media-hacker-list/run189-0,diff 19,none,none,none,alpha
octokit/core.js/run1582-1,diff 20,none,none,none,none
apiaryio/dredd/run586-1,diff 21,none,none,none,alpha
apple/servicetalk/run3760-0,diff 22,alpha,alpha,alpha,none
kinto/kinto/run1333-0,diff 23,none,none,none,alpha
spdx/tools-python/run603-2,diff 24,alpha,alpha,none,alpha
snowflakedb/snowflake-jdbc/run2235-0,diff 25,alpha,alpha,none,alpha
sourmash-bio/sourmash/run4245-0,diff 26,none,none,none,none
hoprnet/hoprnet/run210-0,diff 27,none,none,none,none
scrapinghub/spidermon/run424-0,diff 28,none,none,none,alpha
jaseci-labs/jaseci/run48-4,diff 29,alpha,alpha,none,alpha
yioneko/vtsls/run529-1,diff 30,none,none,none,none
mirkosertic/bytecoder/run778-2,diff 31,alpha,alpha,none,alpha
bluebrain/highfive/run605-0,diff 32,none,none,none,alpha
containerd/stargz-snapshotter/run3119-16,diff 33,alpha,alpha,alpha,alpha
diesel-rs/diesel/run3036-8,diff 34,alpha,alpha,alpha,alpha
netflix/spectator/run586-0,diff 35,alpha,alpha,alpha,none
iliekturtles/uom/run564-1,diff 36,alpha,alpha,alpha,alpha
